id,название,структура_развёрнутого_описания
HELP-SH-WS-SWITCHER,Переключатель рабочего пространства,"{'что_это': 'Переключатель рабочего пространства', 'зачем_нужно': 'Выбор рабочего пространства без перехода через многоуровневое меню.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-SH-CMD-SEARCH,Поиск команд,"{'что_это': 'Поиск команд', 'зачем_нужно': 'Поиск команд, параметров, экранов, тестов, сценариев и диагностических действий.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-SH-PRIMARY-ACTION,Главная кнопка текущего шага,"{'что_это': 'Главная кнопка текущего шага', 'зачем_нужно': 'Одна главная команда текущего шага pipeline: продолжить, добавить в испытания, запустить базовый прогон, запустить StageRunner, принять как baseline.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-SH-OBJECTIVE-CONTRACT,Индикатор контракта целей и ограничений,"{'что_это': 'Индикатор контракта целей и ограничений', 'зачем_нужно': 'Показывает активный objective stack, hard gate, baseline source и режим оптимизации.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-BTN-COLLECT,Собрать диагностику,"{'что_это': 'Собрать диагностику', 'зачем_нужно': 'Собрать один диагностический архив.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-SH-APP-MENU,Меню приложения и состояние проекта,"{'что_это': 'Меню приложения и состояние проекта', 'зачем_нужно': 'Сохранение проекта, открытие проекта, параметры, инструменты, выход.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-SH-NAV-TABS,Вкладки левой панели,"{'что_это': 'Вкладки левой панели', 'зачем_нужно': 'Переключение между путём работы, деревом проекта и историей.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-SH-NAV-FILTER,Фильтр навигации,"{'что_это': 'Фильтр навигации', 'зачем_нужно': 'Фильтр дерева по имени сценария, теста, run или артефакта.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-SH-NAV-TREE,Дерево навигации,"{'что_это': 'Дерево навигации', 'зачем_нужно': 'Главное дерево пути работы, проекта или истории с индикаторами статуса.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-SH-INSPECTOR-TABS,Вкладки правой панели,"{'что_это': 'Вкладки правой панели', 'зачем_нужно': 'Вкладки «Свойства», «Справка», «Проверка» и «Связи».', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
