rel_path,sha256,size_bytes,mtime_utc
BUILDLOG.txt,6d384a84d7fc9b81115252dc159ddeaf2407319d137578c7c90c11a5599a1d47,915,2026-02-15T07:29:31Z
BUILD_INFO_LATEST.txt,2159a4d3057c0740fb96ef07178275e774028f718bafb6fcad3028b66e5269a8,31,2026-02-15T07:30:03Z
BUILD_INFO_PneumoApp_v6_66.txt,de94c9fee26d976b664a1385bd00360585277f4e9e63a1f6d520eac8b26a0bf2,910,2026-02-14T10:11:44Z
BUILD_INFO_PneumoApp_v6_67.txt,5d3efc42f4bf8ae60a8caa68c2470ed9307a9a54cd949d4704dc12cde5d25cec,318,2026-02-14T10:11:44Z
BUILD_INFO_PneumoApp_v6_71.txt,fa4aeb6a5c98ce4d163a06537a445b219bde6f6422a0e1f5d0338fd44e1e8e2e,1246,2026-02-14T10:11:44Z
BUILD_INFO_PneumoApp_v6_72.txt,f96c7f1d7303528cdcb48c73e0753731766ad857913c75e8922b95190de15fe7,1760,2026-02-14T10:11:44Z
BUILD_INFO_PneumoApp_v6_73.txt,2546e1c7735678a501b766c02f6f00bf6b27e3ef46454daec22b896501c8afa2,1035,2026-02-14T10:11:44Z
BUILD_INFO_PneumoApp_v6_76.txt,801100b87086b39fb005b645f3f7d58c83f4d92c8714b50b5b1f2b0bf7c40b74,1415,2026-02-14T10:11:44Z
BUILD_INFO_PneumoApp_v6_77.txt,97006e4b558da602a3936860e02004470c1295eafa88f58181d43192e685842c,1384,2026-02-14T10:11:44Z
BUILD_INFO_PneumoApp_v6_79.txt,b2d823fe2af80d895397219246dd59961f7fddc404d4d443668b3ea93a23e54e,926,2026-02-15T07:29:57Z
BUILD_INFO_v6_49.txt,59ceefab76c9155dbaf169ec407781a7e4e89cd4fff3d7a97582293812ccc1f1,595,2026-02-14T10:11:44Z
BUILD_INFO_v6_50.txt,b38b3fc4452611d5de515d13db8bed7fa431ff5584965d7fa70f3cc2178dd12c,851,2026-02-14T10:11:44Z
BUILD_INFO_v6_51.txt,f8e4324bc5d78917fc33a9dc22dd6dabe0f75a5e6264d4399ad36bb19c893d98,1228,2026-02-14T10:11:44Z
BUILD_INFO_v6_52.txt,dbe821ef35d85cdb94f62c27b0610dd127565dcc87f17426a6ace421373ab0df,817,2026-02-14T10:11:44Z
BUILD_INFO_v6_53.txt,c3417dead8412074ffcc5788b200df7c454f220f9bc05862c29a5f61d1e37e81,961,2026-02-14T10:11:44Z
BUILD_INFO_v6_54.txt,6370ff463ca3d6fceb6d898af13264fd5280da54a3e390bb3d01fe25fe7dd38e,1556,2026-02-14T10:11:44Z
BUILD_INFO_v6_55.txt,5aee509f039c62e96c809733a21018ddf58fc3cedaa34d9f3f0973023ac36920,1189,2026-02-14T10:11:44Z
BUILD_INFO_v6_56.txt,a9a1107e44f360c7bb0a090a18a7b12dc0223060cdd5e00c3580082e94127757,1703,2026-02-14T10:11:44Z
BUILD_INFO_v6_57.txt,b84316a312ffe96bdfce5d9db91c5a5d955d84f6e26fb105070e82b20d54260c,1852,2026-02-14T10:11:44Z
BUILD_INFO_v6_58.txt,38f7c8abf6063df88b69f25b44b8ee299239a4efecccf1bc0fa5712dcdfdec95,1170,2026-02-14T10:11:44Z
BUILD_INFO_v6_59.txt,8dcced0b54490037cc5134069113fbfe8e38ddaf2469f2bab6d76be92a3a7f41,800,2026-02-14T10:11:44Z
BUILD_INFO_v6_60.txt,37caf36f79fbe5cae50a1c2ce00eb27e582e224667dc6730322b19f7faa511ca,1345,2026-02-14T10:11:44Z
BUILD_INFO_v6_61.txt,d2e61ddef4d837f4c86d1bb7de344f71f9f58b2d71dd60d1598b01000cf4230c,316,2026-02-14T10:11:44Z
BUILD_INFO_v6_62.txt,97fe72e92961dfe3ef8d36a4879de2223f08e57b8f0f87af4635f8ad9e88bee8,1428,2026-02-14T10:11:44Z
HASH_MANIFEST_LATEST.csv,f4206ce00d80aaac4de8bbca15cb5ff3c9ec5222b8d976538e79d76bfff59376,97197,2026-02-14T10:54:28Z
HASH_MANIFEST_LATEST.txt,35e3d25c021e73db3f59dfd4e056895dcb8eeb8005c0e732d7566fdd4239adc3,24,2026-02-14T10:54:28Z
PATCH_NOTES_v6_72.md,445efd0f4254d3e930f0246ead939ff192b6b7831a01afa4dbe998472655a8a1,1347,2026-02-14T10:11:44Z
PATCH_NOTES_v6_73.md,e277e43e30b03c297418146a0d7b01035cf847e9720153aa096c0804ce15fa58,988,2026-02-14T10:11:44Z
README.md,1f43bc8df1f7beb11ec91c7549cc6c7fc70f064ec62b9d3b14084ec50169de7b,15715,2026-02-14T10:11:44Z
RELEASE_NOTES_LATEST.txt,eca0d3ad61e7ae68d1a1d9d907ac2518746e4f27f934f69681e1356e81df823b,23,2026-02-15T07:30:33Z
RELEASE_NOTES_v6_74.md,456a4c8a8d51ab6245ebee8a3eed5126d2781fd6e4de242cd434c1019bccc1ab,2400,2026-02-14T10:11:44Z
RELEASE_NOTES_v6_76.md,2126119707eaec4adb21d421e99c182a231f574a13482a01453170e86c5bb1b5,2057,2026-02-14T10:11:44Z
RELEASE_NOTES_v6_77.md,bfcd859ae3b064b773ab58ade48b93ae3f334d3b1491fce7f85a3c057d0fb2e1,1199,2026-02-14T10:11:44Z
RELEASE_NOTES_v6_79.md,5e5e8c3ec92144660bc9e51fcc857a680c2519106d1b6d7e8082157ef9f41215,2573,2026-02-15T07:30:26Z
REPORTS/ADDENDUM_v13.md,5386ee7ca8219b898e06948e7be9afb2dad6a9c08eab9b4dfae9cf49e58abace,14237,2026-02-14T10:11:43Z
REPORTS/AUDIT_SILENT_WARNINGS_energy_entropy_v6_78.md,c5609c44e39d50084ac27bcbb40cf985839c57b8c795987f59f6cca83cbf06f9,3088,2026-02-14T10:52:03Z
REPORTS/AUDIT_SILENT_WARNINGS_energy_entropy_v6_79.md,c861d19dcf039d111fc3c99b05a9277dbfba8c328220a2ffc8a1410bd671171d,1419,2026-02-15T07:31:28Z
REPORTS/AUDIT_STREAMLIT_DEPRECATIONS_v6_79.md,0b18efeadcee1a9f65a5648213ba5f63c6e1b0356efa7e0198554d7ef3c5c9a5,1826,2026-02-15T07:31:52Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/checks/compileall.txt,8830e74b168dbcf638cb0866f93c0b1f9ee1864c7e20aeeb00e35d655bcf9d02,408,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/checks/passport_check.txt,f477bb8a284c5db7342a0bdf7dafc2f17f81ad5fe1ed8731ffe95fe0b03c43c8,107,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/checks/self_check.txt,2734d8b1999657f94b268f50edf8793431227eb6595b3abe86368fe0f3ec5dd0,1665,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/config/PROJECT_CONTEXT_ANALYSIS_v2.md,8cdc14f67b86d30ce1ccc86d9bfe6316f425aa0014b0c706390075d83c3eb688,12642,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/config/TODO.md,7a165976ddb23bcec8c5a2531af20002bcbae768d854ed5e8ef8023c8d832875,11833,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/config/WISHLIST.json,0fb40acbba5da316020b41d27d26a6dac8d738169b450ffc321a0ef524b9f8c4,8695,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/config/WISHLIST.md,91d02185139e8845f4043ba687ffd2bb3d963357a2fa63ca9cc739af511c45e0,37062,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/config/WISHLIST_v2.md,64b685e3095edeb4d1a992b02879ed1e8a24cdd1bbb59ec2f1b095785ef79829,7810,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/config/component_passport.json,e18994c10d4db00b75f5f1a220bce17c58c8239161d919045ae005b0a0e70b1e,135136,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/config/default_base.json,545bb9f9f4a19c795148a97a6cad6efe93039b4ee1063c7f3f317445adf05552,11264,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/config/default_ranges.json,bad41b941d330880cd3a47eb675dc507c1edbc96f079e04748592d484fa3ccb5,2640,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/config/default_suite.json,43b5c37b3716065cb83dfc780d4b8a6e0d819613317145a07b667847d929672c,8015,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/env/pip_check.txt,c0b386d7c36646517a5761390fd9fb9e9abd9dbd115f4653e0a272bb0431332e,444,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/env/pip_freeze.txt,219b5a3b0a11689eaa64fb053f0f1c0002a308ca90d53f82c03d63086a9ee430,7878,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/loglint/harness/loglint_report.json,63fc9869daad11adc11766e9d1c1d5aa51806bc1b5667ea821b8538f5bfc703c,390,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/loglint/harness/loglint_report.md,71bfd05d183456d805bc58d71ac57aa10b25888b685c08a4a68de9ac8e8ef131,203,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/loglint/loglint_harness_stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/loglint/loglint_harness_stdout.txt,eab765b684180799b24046114f4289b633056d5daf6e7406354c090ffafd5941,488,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/loglint/loglint_ui_stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/loglint/loglint_ui_stdout.txt,a09744f9ae3f7cd1298277809b063b98af3b9b1737d447b50bd0db6b6d73f8ab,456,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/loglint/ui/loglint_report.json,530b7f3b212f1e35ac82317c77c39aa4c535f88d9bf64c07fdb752e24827ec0b,222,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/loglint/ui/loglint_report.md,3a71df17c808853a6f1ea80d6a8bd53fa8bb3243abe6582ba5d9cc1c7d0bbd1a,198,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/logstats/harness/logstats.json,077d9b44ff005fa8c64d76b246b430181c960fe1b60c68d773c1a44c63b03440,617,2026-02-14T10:11:43Z
REPORTS/AUTOTEST_v6_40_quick/RUN_20260202_233402_autotest_quick/logstats/harness/logstats.md,e08d3d98e54e1f86b1de191d7c4e447307df4be0851769a5c17708e949a5512d,322,2026-02-14T10:11:43Z
