t,z0,z1,z2,z3
0.0,0.0,0.0,-0.025117096154889006,-0.05444890773097169
0.01,0.0009687111952832201,0.00043284165235753816,-0.02956134054111661,-0.043404805571921445
0.02,0.0018807936709219612,0.0038027188077027992,-0.03343926388947506,-0.04663787924323651
0.03,0.004462631104759098,0.007749771790895213,-0.025737957703086775,-0.04521100240240188
0.04,0.011080433220230897,0.010437409188090227,-0.01785415003902867,-0.030766754226973263
0.05,0.01080801966644864,0.01256780244487972,-0.0120479778160681,-0.02005351953417797
0.06,-0.002672661848241737,0.01175706453704361,-0.003060424165383084,-0.02601855265345231
0.07,-0.014234851165296165,0.009175656017916317,-0.0007759379816450923,-0.032792234271111005
0.08,-0.014517398669196916,0.014537013801793583,-0.00728931505035051,-0.027070371271787352
0.09,-0.01658423683053419,0.02737174174835792,-0.00855253489934876,-0.022655921732701235
0.1,-0.02696390152724867,0.029889063075294157,-0.006802410896727082,-0.02522842531950413
0.11,-0.03472418217970204,0.01577173962080154,-0.010961906051695907,-0.020054416832294492
0.12,-0.036542492936765196,0.0026230865938529856,-0.010121716809155516,-0.00737703339655829
0.13,-0.039668916658886215,0.001703876027261924,-0.001573111358597399,-0.0005140504289842965
0.14,-0.04378202090590942,0.0034921271963285565,0.00023937924981867225,-6.784471789779692e-05
0.15,-0.04254303633715121,0.002956495962343097,0.0015504642406253787,0.0017960478029136497
0.16,-0.03340748472962138,0.008224568608587588,0.002578095732970062,0.005931006404091735
0.17,-0.019409801864853377,0.017364219461123327,0.007665587394278535,0.009184223451474377
0.18,-0.010236298942069323,0.016800937397945817,0.01270741694672251,0.01164184461650802
0.19,-0.012126703898671244,0.007731737115406299,0.005133164250005854,0.012707277156730517
0.2,-0.014986257753633133,0.0071727411823116274,-0.00987891300294773,0.010153826947195604
0.21,-0.009432518945963255,0.019297444317345386,-0.015278918942536683,0.010367556492421118
0.22,-0.0068091781371614245,0.028982619626624656,-0.014365201640913686,0.02095504123630903
0.23,-0.01809782939664566,0.027337831520623558,-0.02126384477847239,0.03098632922512376
0.24,-0.031805778489739624,0.02353592054061687,-0.03181225031174073,0.024133519633631386
0.25,-0.033391640557609556,0.025676142091450173,-0.03592612990428266,0.0077995913844045575
0.26,-0.024623457394896797,0.02791865028035635,-0.03767401346997384,0.0009458088192742687
0.27,-0.01359340687186066,0.02509716272265195,-0.042018080486517714,0.0030148296813793446
0.28,-0.006586447696329675,0.02165780949308521,-0.04411764975829849,0.0030868401369717607
0.29,-0.008536535388984577,0.01643974571214699,-0.03892142188256892,0.004500611380971516
0.3,-0.015195531728651268,0.0021339195339760628,-0.026544034921914938,0.01318166353635787
0.31,-0.014818066048411797,-0.012263331807918304,-0.013511535239486998,0.01881636677444937
0.32,-0.006809304983347885,-0.010354978419674777,-0.010071367050841565,0.012327985644473271
0.33,-0.0023438472359878265,-0.0007664477653182667,-0.014431172091539875,0.005527677454953556
0.34,-0.0028507365111925392,-0.0018724037077557584,-0.012990083736863053,0.012377230608080072
0.35000000000000003,0.0014886065236822752,-0.007291329519319633,-0.006610106266255423,0.02546989597225563
0.36,0.010444246826570521,-0.007292174796127084,-0.010962231467745156,0.029296001351119327
0.37,0.014100651882034642,-0.011981803164549998,-0.025876044334996247,0.02487664244674183
0.38,0.0145669199223751,-0.01960619070878768,-0.03436151672807774,0.023977724087667036
0.39,0.020611822313457047,-0.013011729792025223,-0.029755476105010014,0.027372783447617646
0.4,0.023142397953750365,-0.0025994776865785095,-0.018983570423346703,0.02697159066780714
0.41000000000000003,0.009195923711323217,-0.010220262651228986,-0.009192137827916098,0.023197463323812548
0.42,-0.006305901322363648,-0.022182466778703547,-0.006386622063388625,0.01984932786887822
0.43,-0.0020512425273470744,-0.019070189844194688,-0.012037424245475955,0.010413072245437626
0.44,0.010955659223335888,-0.013696519515683363,-0.016370169834012033,-0.006366424141207867
0.45,0.013945392128422872,-0.015673946198149987,-0.011107650109005612,-0.013549427458476853
0.46,0.016759916500560437,-0.013759471437843075,-0.003607093672437497,-0.005022441200586376
0.47000000000000003,0.029456862626539647,-0.008596376284718954,-0.0025671767623399785,0.00025071805180139703
0.48,0.03659752630101476,-0.007576545333112264,-0.0017023832720597244,-0.0051336063921847384
0.49,0.032190103983180576,-0.0030453064316678844,0.006051236929560387,-0.007599197314112727
0.5,0.03318568485664943,0.006155645476115649,0.013245496306319129,-0.008430789861053065
0.51,0.040565794900650244,0.008985144848004264,0.013989748564273248,-0.016669027955796067
0.52,0.03729230040342323,0.008664048197893875,0.01693010164738282,-0.01837090350702752
0.53,0.026631098177064685,0.014321592841227563,0.023538710252583753,-0.006413258156138718
0.54,0.025828408806646833,0.022160336819362685,0.018035011412645716,-0.004096003579747212
0.55,0.031740889697746834,0.02873253323278771,-0.0001910720950628766,-0.01754102469130027
0.56,0.029130037609305624,0.03313867730813571,-0.0067866660383905245,-0.022312587523690516
0.5700000000000001,0.01863727572873675,0.030841875407269514,0.005031287674300963,-0.015384053657402827
0.58,0.013104828963207261,0.029868518417079184,0.013727355730857059,-0.014338161289952241
0.59,0.016482302250020398,0.04123026380403135,0.014126238669043983,-0.01571008980041766
0.6,0.019216314842689416,0.05165658692762549,0.0224550646402146,-0.010838729417535782
0.61,0.015089225884291206,0.051082074285703605,0.03485236978496203,-0.00778137031239917
0.62,0.014299964234433304,0.057917817835764114,0.03493153627730215,-0.006333734433441501
0.63,0.02582556024416906,0.07729207101703117,0.031167606215700413,0.001712780773714815
0.64,0.03695211537885601,0.08720566803255411,0.03720515630722346,0.008658381261297336
0.65,0.034593058671275705,0.08429864603153633,0.04080363714071961,0.008403546585133795
0.66,0.030525581975591225,0.08475183968929488,0.03163656393134187,0.01073747583812394
0.67,0.0375025041252912,0.08842978844357298,0.024541859406536425,0.018391622966457317
0.68,0.0436334366290817,0.08683692746275186,0.029029662645249428,0.025536331725356628
0.6900000000000001,0.03673382189742486,0.08099396403362721,0.03197824948707897,0.03154079632310044
0.7000000000000001,0.028507345144103968,0.07360653076143674,0.024083753233700073,0.0327844585218988
0.71,0.032987622722221284,0.06769665292062724,0.014613955258236432,0.029104948766270858
0.72,0.04309210131431579,0.06507651699319049,0.01408520802058784,0.034275001028160994
0.73,0.01713999608583588,0.06106002943623005,0.018664448904545463,0.04790624869511352
0.74,0.011334276477282988,0.05821867772638005,0.017712473211380777,0.05199072319996851
0.75,0.014627823915718879,0.06250717739472499,0.013300957060789228,0.05232321096431937
0.76,0.01089734606125307,0.060588314063091904,0.018838537936914933,0.06726212941207478
0.77,0.02262149700248006,0.045567501825781905,0.03273675706101491,0.08451176867933244
0.78,0.021728743369347537,0.040193377606820506,0.03726094792577224,0.08628199851848825
0.79,0.028764888751354002,0.04766033353967952,0.0314772944476169,0.08356408321538716
0.8,0.026563270524035558,0.040023798541633966,0.03286850259634851,0.08688785016567639
0.81,0.010129396035485842,0.02186934259451217,0.04192459913997363,0.08841513446897556
0.8200000000000001,0.007954118315307462,0.020318994344080746,0.04157932202962751,0.08421471429809275
0.8300000000000001,0.020756706619996342,0.022381996086142344,0.03152082572240584,0.0773778530563457
0.84,0.022643078019677916,0.010119645755645354,0.029110075114546358,0.07019220904278399
0.85,0.020950232035779188,0.00835343294882541,0.038374333050634826,0.06620258967664608
0.86,0.03268805948602206,0.02893451928299271,0.034883886120900674,0.06343907106106435
